timestamp,ip,port,session_id,event_type,packets,duration_sec
2026-04-21T05:31:44.410932,223.31.218.223,53123,262a427c,DISCONNECT,0,0.01
2026-04-21T05:31:44.433276,127.0.0.1,34774,dd420749,CONNECT,0,0.0
2026-04-21T05:31:44.441171,127.0.0.1,34774,dd420749,DISCONNECT,0,0.008
2026-04-21T05:36:36.085778,223.31.218.223,53284,0136133b,CONNECT,0,0.0
2026-04-21T05:36:36.100247,223.31.218.223,53284,0136133b,DISCONNECT,0,0.015
2026-04-21T05:36:36.127747,127.0.0.1,59856,cc1a53c4,CONNECT,0,0.0
2026-04-21T05:36:36.134796,127.0.0.1,59856,cc1a53c4,DISCONNECT,0,0.007
2026-04-21T06:47:42.572694,127.0.0.1,39514,e1cced10,CONNECT,0,0.0
2026-04-21T06:47:45.599245,127.0.0.1,39514,e1cced10,DISCONNECT,0,3.03
2026-04-21T08:00:33.531879,127.0.0.1,32808,78a530c2,CONNECT,0,0.0
2026-04-21T08:00:38.401265,127.0.0.1,32808,78a530c2,DISCONNECT,0,4.87
2026-04-21T08:00:44.286025,127.0.0.1,55228,1e4785f0,CONNECT,0,0.0
2026-04-21T08:00:53.015617,127.0.0.1,55228,1e4785f0,DISCONNECT,0,8.73
2026-04-21T08:02:49.205970,127.0.0.1,52912,779076da,CONNECT,0,0.0
2026-04-21T08:02:56.320277,127.0.0.1,38642,22329e78,CONNECT,0,0.0
2026-04-21T08:02:59.209621,127.0.0.1,52912,779076da,DISCONNECT,0,10.004
2026-04-21T08:03:06.063568,127.0.0.1,38642,22329e78,DISCONNECT,0,9.744
2026-04-21T08:05:17.422432,127.0.0.1,55820,284cdf7e,CONNECT,0,0.0
2026-04-21T08:05:27.426714,127.0.0.1,55820,284cdf7e,DISCONNECT,0,10.005
2026-04-21T08:05:56.572857,127.0.0.1,52608,96404652,CONNECT,0,0.0
2026-04-21T08:06:06.578132,127.0.0.1,52608,96404652,DISCONNECT,0,10.006
2026-04-21T08:18:44.862934,127.0.0.1,48874,6be98a72,CONNECT,0,0.0
2026-04-21T08:19:02.935178,127.0.0.1,48874,6be98a72,DISCONNECT,0,18.073
2026-04-21T08:43:05.028955,127.0.0.1,60210,00100956,CONNECT,0,0.0
2026-04-21T08:43:21.130889,127.0.0.1,60210,00100956,DISCONNECT,0,16.107
2026-04-21T08:43:22.193041,127.0.0.1,48170,87cc641e,CONNECT,0,0.0
2026-04-21T08:43:38.300790,127.0.0.1,48170,87cc641e,DISCONNECT,0,16.108
2026-04-21T08:43:40.403441,127.0.0.1,43588,51dd1e3b,CONNECT,0,0.0
2026-04-21T08:43:56.507793,127.0.0.1,43588,51dd1e3b,DISCONNECT,0,16.105
2026-04-21T08:43:56.593886,127.0.0.1,39886,5cbcc925,CONNECT,0,0.0
2026-04-21T08:44:04.602467,127.0.0.1,39886,5cbcc925,DISCONNECT,0,8.009
2026-04-21T08:44:04.667648,127.0.0.1,35230,feaba100,CONNECT,0,0.0
2026-04-21T08:44:12.591088,127.0.0.1,35230,feaba100,DISCONNECT,0,7.924
2026-04-21T08:44:12.693629,127.0.0.1,35232,ac610cb7,CONNECT,0,0.0
